date,temperatureC,weather
2004-03-24,14.10740740740741,Mostly Cloudy
2004-03-25,12.566666666666668,Mostly Cloudy
2004-03-26,12.065384615384618,Mostly Cloudy
2004-03-27,12.976470588235294,Partly Cloudy
2004-03-28,16.041666666666664,Partly Cloudy
2004-03-29,13.655999999999997,Mostly Cloudy
2004-03-30,12.090322580645163,Mostly Cloudy
2004-03-31,11.404166666666663,Clear
2004-04-01,13.466666666666663,Clear
2004-04-02,16.525000000000002,Clear
2004-04-03,13.107142857142861,Partly Cloudy
2004-04-04,11.64642857142857,Mostly Cloudy
2004-04-05,12.061538461538465,Mostly Cloudy
2004-04-06,11.624000000000002,Scattered Clouds
2004-04-07,12.923999999999996,Partly Cloudy
2004-04-08,12.174074074074078,Scattered Clouds
2004-04-09,12.907692307692312,Clear
2004-04-10,12.348000000000004,Partly Cloudy
2004-04-11,11.646428571428574,Mostly Cloudy
2004-04-12,12.441935483870969,Overcast
2004-04-13,13.06785714285714,Scattered Clouds
2004-04-14,13.588,Mostly Cloudy
2004-04-15,12.179166666666669,Mostly Cloudy
2004-04-16,12.241666666666667,Scattered Clouds
2004-04-17,12.265384615384617,Scattered Clouds
2004-04-18,11.592307692307696,Mostly Cloudy
2004-04-19,13.595833333333331,Overcast
2004-04-20,14.607692307692304,Mostly Cloudy
2004-04-21,13.583999999999998,Overcast
2004-04-22,15.158333333333331,Clear
2004-04-23,16.129166666666666,Clear
2004-04-24,18.079166666666666,Clear
2004-04-25,20.141666666666666,Clear
2004-04-26,22.0,Clear
2004-04-27,20.433333333333334,Clear
2004-04-28,15.379999999999997,Clear
2004-04-29,19.073076923076925,Clear
2004-04-30,14.120833333333332,Partly Cloudy
2004-05-01,14.571999999999997,Partly Cloudy
2004-05-02,17.568,Clear
2004-05-03,14.808333333333335,Clear
2004-05-04,13.992307692307694,Partly Cloudy
2004-05-05,13.942307692307695,Scattered Clouds
2004-05-06,15.179166666666665,Scattered Clouds
2004-05-07,16.68076923076923,Scattered Clouds
2004-05-08,15.055999999999997,Scattered Clouds
2004-05-09,14.837500000000004,Partly Cloudy
2004-05-10,13.84583333333333,Partly Cloudy
2004-05-11,13.337499999999999,Partly Cloudy
2004-05-12,14.345833333333331,Clear
2004-05-13,13.764285714285718,Scattered Clouds
2004-05-14,14.124999999999998,Scattered Clouds
2004-05-15,13.866666666666664,Scattered Clouds
2004-05-16,13.66296296296296,Scattered Clouds
2004-05-17,14.743999999999996,Mostly Cloudy
